Tool,cEXT,cNEU,cAGR,cCON,cOPN
Tool #1,0.5214748784440842,0.5040518638573744,0.5072933549432739,0.5113452188006483,0.5672609400324149
Tool #3,0.4959481361426256,0.549837925445705,0.5101296596434359,0.5388978930307942,0.5575364667747164
Tool #4,0.5145867098865479,0.5113452188006483,0.5121555915721232,0.5324149108589952,0.5178282009724473
